iter	TotalF1	MultiClass
0	0.1903705848	3.238413421
1	0.2410001054	3.027444192
2	0.2965160646	2.84700635
3	0.33151943	2.700803604
4	0.3388045825	2.633075322
5	0.3328999642	2.567988946
6	0.3532251754	2.465103778
7	0.3750258364	2.373393938
8	0.3794835949	2.322108862
9	0.3845144346	2.273379818
10	0.3904525147	2.224784425
11	0.3939353781	2.187641824
12	0.3981360307	2.148657395
13	0.4188386018	2.109183978
14	0.4386860003	2.083674353
15	0.440335055	2.065144692
16	0.4391537142	2.035069504
17	0.4400508983	2.021401543
18	0.4456142193	1.986723072
19	0.4525450806	1.958038103
20	0.4561673365	1.941675588
21	0.4597398972	1.925602385
22	0.4698047487	1.901658553
23	0.4726988179	1.875216072
24	0.4717556542	1.873897337
25	0.4786230966	1.856843516
26	0.4885544997	1.832400085
27	0.4957903884	1.805210153
28	0.5011395956	1.787161775
29	0.5145832872	1.764414503
30	0.5240609989	1.75190984
31	0.5251396181	1.744802174
32	0.5419630248	1.732200152
33	0.546919594	1.724801929
34	0.5506387759	1.718815178
35	0.5506233239	1.713251882
36	0.5616515602	1.70174476
37	0.5675293485	1.693321926
38	0.5736234337	1.682039885
39	0.5763520234	1.67653376
40	0.5899296368	1.651090906
41	0.5933638761	1.648138099
42	0.5942334796	1.634607642
43	0.5946250882	1.634290732
44	0.5944809022	1.631479381
45	0.6028986657	1.624368889
46	0.6038139776	1.619961277
47	0.6112414144	1.608641785
48	0.6114408077	1.606645359
49	0.6115879449	1.598467946
50	0.6137381526	1.588440077
51	0.620456304	1.571597403
52	0.6213450044	1.566718378
53	0.620544532	1.562788412
54	0.6236880508	1.555780205
55	0.6253967713	1.550848425
56	0.6312920874	1.534425893
57	0.6314931572	1.532895534
58	0.6411189282	1.516180533
59	0.6407470747	1.512404718
60	0.6506970507	1.501447546
61	0.6503111645	1.484646609
62	0.6546029041	1.471352031
63	0.6594354147	1.461225949
64	0.6685032405	1.445174867
65	0.67341559	1.434355248
66	0.6806031351	1.421219393
67	0.6848571162	1.409377924
68	0.6860577482	1.392470454
69	0.6891675632	1.382765706
70	0.6909684194	1.377118358
71	0.6875299934	1.361693658
72	0.6940083822	1.351429596
73	0.6991055726	1.340755636
74	0.7036268019	1.336926909
75	0.7066326605	1.318764646
76	0.7127127027	1.305748882
77	0.7156157569	1.295559276
78	0.7150466481	1.281550603
79	0.7182579854	1.274377692
80	0.7232317759	1.260703235
81	0.7251787308	1.250460731
82	0.730132599	1.236451767
83	0.7349726733	1.226958073
84	0.7341757012	1.217690835
85	0.7371124495	1.20968174
86	0.7405866934	1.203142151
87	0.7421726363	1.191457156
88	0.7496222091	1.178801165
89	0.7506734762	1.168810681
90	0.7570083736	1.157214251
91	0.7636089026	1.146704513
92	0.7701485112	1.137274223
93	0.7694142186	1.123419679
94	0.7724559787	1.109770525
95	0.7750661392	1.101864178
96	0.778435979	1.092064586
97	0.7765691156	1.079679678
98	0.7819509169	1.071215209
99	0.7814475679	1.062485621
100	0.7867539206	1.052678076
101	0.7879405759	1.044128801
102	0.7895635607	1.035465891
103	0.7895579096	1.026493959
104	0.7936487749	1.017456874
105	0.7986128014	1.00958536
106	0.7993619938	1.001069574
107	0.8007073193	0.9934405234
108	0.80274539	0.9849387544
109	0.8095210789	0.9751180215
110	0.8111461273	0.9650276067
111	0.8151411743	0.9588934548
112	0.8163310782	0.9523344341
113	0.8202879214	0.9443293435
114	0.8227795156	0.938560211
115	0.8227704634	0.9309265376
116	0.8268248962	0.923064913
117	0.829697229	0.9164919491
118	0.8337801104	0.9100096616
119	0.8356596016	0.90115721
120	0.8382076017	0.8929825934
121	0.8386035222	0.8864245452
122	0.842925548	0.8799320475
123	0.845175224	0.8741503224
124	0.8467341072	0.866176376
125	0.850425217	0.8594873267
126	0.853582138	0.8534276971
127	0.8564338424	0.846553685
128	0.8566253366	0.8413148705
129	0.8606450318	0.8354724754
130	0.8625107564	0.8307605412
131	0.8649830881	0.8244743668
132	0.8685990121	0.8162358068
133	0.8685462075	0.8106553388
134	0.8720341986	0.8043610595
135	0.8735290758	0.796978933
136	0.8744817798	0.7922795427
137	0.8735182405	0.7874272055
138	0.8759856268	0.7828701402
139	0.8771195072	0.7772041797
140	0.8790993436	0.7727621291
141	0.8801934816	0.7658041576
142	0.8815765154	0.7599919877
143	0.8835888811	0.7558539663
144	0.8854108024	0.7503737491
145	0.8880458331	0.7438074082
146	0.8880369769	0.7391978474
147	0.8883718237	0.7345335578
148	0.8893874399	0.7315488372
149	0.8920058492	0.7269297028
150	0.8976998518	0.7198394494
151	0.9011663906	0.7146788051
152	0.9015981651	0.7100817129
153	0.9035268966	0.7050095272
154	0.9035701077	0.7010991382
155	0.9055270964	0.6977215759
156	0.9056219914	0.6949549626
157	0.9065405592	0.6893937644
158	0.9070476262	0.6867308985
159	0.9075748045	0.681732271
160	0.9062115861	0.677425121
161	0.9061527011	0.6737519372
162	0.9105674945	0.6699103423
163	0.9120574388	0.6659504512
164	0.9115382265	0.6625276445
165	0.9085813525	0.6582147973
166	0.9090791665	0.6544442993
167	0.9110429735	0.6502210987
168	0.9129321845	0.6467953812
169	0.9143911274	0.6432935906
170	0.9144247538	0.640161597
171	0.9163681001	0.636974486
172	0.9187688304	0.6338310214
173	0.92074258	0.6297628138
174	0.9227084062	0.6258455492
175	0.9231914285	0.6231740286
176	0.9222775871	0.6199493921
177	0.9227873477	0.6168078381
178	0.9252065822	0.6112259352
179	0.9257020558	0.6067997788
180	0.9271999008	0.6037407162
181	0.9286404327	0.5993744865
182	0.93155053	0.5959923373
183	0.9325009081	0.5933006339
184	0.9315930651	0.5904745273
185	0.9320755145	0.5866629271
186	0.9319653831	0.5829851618
187	0.9334563246	0.5793258454
188	0.9359124366	0.5750445737
189	0.9373482357	0.5707708292
190	0.9378430789	0.5683633426
191	0.9383354278	0.5648019924
192	0.9397739422	0.5617845323
193	0.940775128	0.5588881499
194	0.9407668095	0.5552710552
195	0.9441508572	0.5512559236
196	0.9436739406	0.5475351406
197	0.9452079997	0.5448739194
198	0.9461886616	0.5413060424
199	0.9456752766	0.5382053935
200	0.9451983934	0.5367830944
201	0.9476896793	0.5332839976
202	0.9476896793	0.5321361858
203	0.9491385255	0.5297773687
204	0.9521021009	0.5268273811
205	0.9525854738	0.5235018219
206	0.9554932411	0.5208093799
207	0.9554932411	0.5190346674
208	0.9564700285	0.5165131079
209	0.957431431	0.513339278
210	0.9569437709	0.5118032603
211	0.9593952004	0.5083168304
212	0.9593876935	0.5048095486
213	0.958443565	0.5029051357
214	0.958922373	0.49988495
215	0.9608888246	0.4984997277
216	0.9618745602	0.4954979637
217	0.9608834424	0.4937742068
218	0.9623281318	0.4916676599
219	0.9623627779	0.4898741393
220	0.9637963816	0.4867918462
221	0.9652639488	0.4838849065
222	0.9647956705	0.4817093973
223	0.9642975824	0.4779107159
224	0.9652676629	0.4754228237
225	0.9652467462	0.4727452127
226	0.9662160664	0.4702226106
227	0.9662160664	0.4675289902
228	0.9681629112	0.4640209764
229	0.9696331615	0.4611114466
230	0.9686484063	0.4589013109
231	0.9711177195	0.4566233236
232	0.9706279882	0.4538853676
233	0.9730527514	0.4512185652
234	0.9720398036	0.4502005878
235	0.9730527514	0.4481896072
236	0.9735348423	0.4453913483
237	0.9745326505	0.4433218046
238	0.9750189772	0.4413725867
239	0.9760210542	0.4390021329
240	0.9760210542	0.4367877139
241	0.9760136003	0.4358419983
242	0.9760210542	0.4342325414
243	0.9760210542	0.433106983
244	0.9760210542	0.4315458909
245	0.9760299402	0.429168029
246	0.9770026113	0.4257806682
247	0.9769989901	0.422929709
248	0.9780024649	0.4208755802
249	0.9779994509	0.4188586401
250	0.9789612478	0.4169792421
251	0.9789612478	0.4155541808
252	0.9794705859	0.4136501931
253	0.9789589756	0.4119134625
254	0.9789612478	0.4103937021
255	0.9789612478	0.4076992755
256	0.9789639253	0.4057467885
257	0.981402445	0.402560975
258	0.9823865058	0.4003007695
259	0.9828771772	0.3989219735
260	0.982904355	0.3972974825
261	0.983376857	0.3956244062
262	0.9828930686	0.3933679863
