iter	Passed	Remaining
0	972	485189
1	3724	927483
2	6685	1107564
3	9346	1158941
4	9922	982376
5	10299	848009
6	13091	921983
7	16312	1003232
8	17799	971058
9	20926	1025381
10	23717	1054370
11	26752	1087949
12	29756	1114742
13	32732	1136287
14	36408	1177220
15	36952	1117822
16	39376	1118766
17	39911	1068751
18	42755	1082378
19	43782	1050785
20	44883	1023760
21	45831	995788
22	46743	969409
23	47617	944410
24	47641	905193
25	50548	921533
26	53886	944018
27	56893	959060
28	60097	976071
29	63169	989651
30	66428	1004996
31	69040	1009711
32	71965	1018421
33	74553	1021817
34	76979	1022726
35	79469	1024267
36	82436	1031571
37	84811	1031131
38	87899	1039018
39	90291	1038348
40	92915	1040195
41	94227	1027527
42	95120	1010930
43	95143	986032
44	95841	969061
45	96603	953434
46	97336	938159
47	98182	924552
48	98303	904792
49	99091	891825
50	100012	880501
51	100924	869507
52	101669	857475
53	102409	845824
54	103020	833532
55	103695	822153
56	104565	812673
57	105384	803105
58	106307	794600
59	107061	785115
60	108046	777583
61	109024	770207
62	109933	762557
63	110836	755075
64	111569	746660
65	112328	738643
66	113329	732412
67	114236	725740
68	115047	718627
69	115999	712566
70	116788	705667
71	117650	699366
72	118311	692038
73	119208	686254
74	119940	679663
75	120641	673051
76	121449	667182
77	122316	661764
78	123159	656333
79	124085	651446
80	124935	646272
81	125766	641103
82	126642	636262
83	127494	631402
84	128352	626663
85	129200	621964
86	129961	616941
87	130814	612451
88	131613	607787
89	132349	602923
90	133225	598781
91	134048	594474
92	134894	590345
93	135617	585750
94	136390	581454
95	137172	577268
96	138015	573404
97	138827	569476
98	139565	565311
99	140229	560917
100	141001	557026
101	141873	553586
102	142639	549785
103	143422	546110
104	144227	542569
105	144979	538885
106	145866	535754
107	146658	532314
108	147459	528959
109	148152	525268
110	148898	521816
111	149531	518018
112	150309	514775
113	151300	512296
114	152631	510984
115	153963	509673
116	155428	508794
117	156726	507369
118	158087	506145
119	159382	504710
120	160796	503650
121	162108	502269
122	163423	500899
123	164648	499257
124	166044	498134
125	167655	497645
126	169056	496521
127	170593	495788
128	172360	495702
129	174148	495654
130	175573	494554
131	177293	494273
132	178565	492732
133	180134	492009
134	181519	490774
135	183148	490190
136	184660	489281
137	186043	488026
138	187498	486957
139	189199	486513
140	190943	486162
141	192501	485320
142	194003	484329
143	195766	483979
144	196971	482241
145	198232	480646
146	199508	479091
147	200866	477737
148	202042	475952
149	203457	474734
150	204714	473148
151	205850	471290
152	207424	470434
153	208770	469055
154	210008	467437
155	211329	466009
156	212731	464756
157	214094	463419
158	215434	462032
159	216761	460617
160	218407	459876
161	219613	458206
162	221064	457047
163	222498	455851
164	223802	454387
165	224943	452596
166	226233	451113
167	227568	449719
168	228876	448272
169	230258	446972
170	231587	445569
171	232943	444217
172	234363	442988
173	235843	441867
174	237252	440611
175	238643	439321
176	239896	437776
177	241277	436468
178	242300	434515
179	243562	432999
180	244824	431487
181	246164	430111
182	247640	428973
183	249667	428777
184	251562	428335
185	253489	427933
186	255414	427512
187	257220	426877
188	258968	426134
189	260523	425064
190	262224	424227
191	263906	423350
192	265718	422670
193	267708	422261
194	269439	421431
195	271183	420611
196	272763	419529
197	274409	418544
198	275877	417281
199	277415	416123
200	279161	415270
201	280826	414288
202	282613	413479
203	284350	412586
204	285919	411445
205	287491	410302
206	289157	409290
207	291102	408663
208	292820	407706
209	294525	406725
210	296331	405875
211	297965	404783
212	299600	403687
213	301382	402781
214	302885	401499
215	304801	400757
216	306396	399585
217	307689	398020
218	309521	397149
219	311007	395828
220	312725	394798
221	314610	393971
222	316436	393062
223	318122	391972
224	320211	391369
225	321728	390060
226	323391	388924
227	325116	387858
228	326881	386833
229	328569	385711
230	330205	384525
231	331845	383338
232	333581	382258
233	335373	381236
234	336945	379959
235	338755	378946
236	340303	377636
237	342000	376487
238	343379	374987
239	345448	374236
240	347749	373722
241	349353	372451
242	351054	371280
243	352759	370107
244	354430	368896
245	355970	367546
246	357581	366267
247	359103	364895
248	360761	363659
249	362649	362649
250	364838	361931
251	367049	361223
252	369314	360555
253	371404	359706
254	372767	358149
255	374328	356782
256	376124	355635
257	378286	354826
258	379887	353486
259	381488	352143
260	383381	351065
261	384872	349617
262	386438	348235
263	388219	347044
264	389907	345766
265	391625	344512
266	393395	343300
267	395090	342018
268	396764	340715
269	398424	339398
270	400122	338111
271	401835	336832
272	403577	335575
273	405312	334308
274	406984	332987
275	408540	331568
276	410386	330383
277	412122	329104
278	413610	327627
279	415148	326188
280	416795	324833
281	418589	323590
282	420026	322070
283	421574	320633
284	423058	319149
285	424547	317668
286	426283	316370
287	427898	314980
288	429439	313535
289	431218	312261
290	432661	310743
291	434178	309277
292	435928	307976
293	437596	306615
294	439416	305357
295	441387	304199
296	443234	302951
297	444811	301516
298	446550	300189
299	448061	298707
300	449663	297286
301	451448	295983
302	452970	294505
303	454563	293073
304	455687	291341
305	457292	289917
306	458994	288553
307	460480	287052
308	462312	285766
309	464023	284401
310	465681	283002
311	467173	281501
312	468461	279879
313	470142	278491
314	471771	277072
315	473501	275709
316	475101	274270
317	476569	272753
318	478094	271269
319	479821	269899
320	481601	268556
321	483421	267233
322	485285	265930
323	486906	264492
324	488534	263057
325	490098	261586
326	491695	260132
327	493501	258787
328	495163	257364
329	496703	255877
330	498375	254457
331	499986	253005
332	501467	251486
333	503339	250162
334	504850	248657
335	506493	247216
336	508100	245757
337	509659	244274
338	511335	242846
339	512860	241346
340	514634	239961
341	516335	238540
342	517713	236970
343	519192	235447
344	520886	234021
345	522694	232644
346	524238	231148
347	525920	229712
348	527224	228111
349	528907	226674
350	530474	225187
351	532194	223763
352	533726	222260
353	535313	220778
354	536736	219230
355	538139	217674
356	539769	216210
357	541562	214809
358	543059	213290
359	544852	211886
360	546456	210408
361	548026	208916
362	549603	207426
363	551216	205949
364	552666	204410
365	554455	202997
366	556140	201544
367	557686	200039
368	559672	198691
369	561209	197181
370	562993	195757
371	564644	194286
372	566106	192749
373	567596	191222
374	569242	189747
375	570781	188236
376	572466	186772
377	574209	185326
378	575628	183775
379	577248	182288
380	578852	180796
381	580322	179261
382	582086	177817
383	583803	176357
384	585311	174833
385	586830	173312
386	588875	171945
387	590654	170498
388	592327	169018
389	594319	167628
390	595903	166121
391	597486	164613
392	598924	163065
393	600681	161604
394	602341	160115
395	603522	158500
396	605400	157068
397	606963	155553
398	608600	154056
399	610071	152517
400	611678	151012
401	613257	149500
402	614855	147992
403	616244	146434
404	617896	144938
405	619429	143414
406	621040	141908
407	622516	140371
408	624229	138887
409	625695	137347
410	627318	135842
411	629214	134395
412	631041	132931
413	632721	131434
414	634431	129943
415	636171	128457
416	637930	126974
417	639241	125401
418	640901	123897
419	642246	122332
420	643683	120786
421	645295	119272
422	646824	117743
423	648380	116219
424	650078	114719
425	651325	113141
426	652863	111613
427	654388	110084
428	656044	108576
429	657669	107062
430	659205	105534
431	660941	104037
432	662536	102517
433	664071	100987
434	665591	99456
435	667170	97933
436	668680	96400
437	670280	94879
438	671741	93339
439	673361	91822
440	675104	90320
441	676540	88776
442	678050	87243
443	679697	85727
444	681143	84186
445	682822	82673
446	684602	81172
447	686321	79662
448	687783	78122
449	689423	76602
450	690837	75057
451	692256	73514
452	693457	71948
453	695119	70430
454	696270	68861
455	697657	67317
456	699330	65801
457	700956	64279
458	702336	62735
459	703428	61167
460	705145	59654
461	706841	58138
462	708487	56617
463	710028	55088
464	711780	53574
465	713193	52035
466	714620	50497
467	715770	48941
468	717400	47418
469	719000	45893
470	720549	44365
471	722160	42840
472	723752	41313
473	725311	39785
474	726617	38243
475	728320	36722
476	729981	35198
477	731584	33671
478	733254	32146
479	734838	30618
480	736198	29080
481	738068	27562
482	739516	26028
483	741209	24502
484	742624	22967
485	744485	21446
486	746049	19915
487	747720	18386
488	748991	16848
489	750744	15321
490	752190	13787
491	753891	12258
492	755309	10724
493	756656	9190
494	758230	7658
495	759664	6126
496	761374	4595
497	762834	3063
498	764353	1531
499	765683	0
