"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"13","1966","6","Madhya Pradesh","Sagar","15.0","7.0","466.67","209.0","68.0","325.36","36.2","30.6","845.3","0.0","0.0","0.0","36.2","30.6","845.3","0.0","0.0","0.0","4.0","4.0","1000.0","0.0","0.0","0.0","0.7","0.4","571.43","44.0","11.0","250.0","6.0","1.0","166.67","58.54","-1.0","-1.0","7.0","3.0","428.57","11.4","1.3","114.04","0.6","0.1","166.67","0.0","0.0","0.0","0.0","0.0","0.0","12.6","2.3","182.54","0.0","0.0","0.0","0.0","0.0","0.0","39.57","-1.0","-1.0","0.4","0.6","1500.0","0.0","0.0","0.0","0.42","1.75","2.17","0.79","0.18","78.21"
"13","1967","6","Madhya Pradesh","Sagar","15.0","11.0","733.33","218.0","157.0","720.18","59.4","67.9","1143.1","0.0","0.0","0.0","59.4","67.9","1143.1","0.0","0.0","0.0","4.0","6.0","1500.0","0.0","0.0","0.0","0.7","0.8","1142.86","32.0","16.0","500.0","7.0","5.0","714.29","46.38","-1.0","-1.0","8.0","5.0","625.0","12.7","0.9","70.87","1.0","0.3","300.0","0.0","0.0","0.0","0.0","0.0","0.0","14.8","4.9","331.08","0.0","0.0","0.0","0.0","0.0","0.0","41.84","-1.0","-1.0","0.3","0.5","1666.67","0.0","0.0","0.0","0.42","2.01","2.43","1.01","0.15","74.62"
"13","1968","6","Madhya Pradesh","Sagar","15.3","8.0","522.88","254.6","162.0","636.29","42.6","46.3","1086.85","0.0","0.0","0.0","42.6","46.3","1086.85","0.0","0.0","0.0","4.3","4.0","930.23","0.0","0.0","0.0","0.7","0.6","857.14","30.4","12.0","394.74","6.2","3.0","483.87","42.5","-1.0","-1.0","6.1","4.0","655.74","8.9","1.4","157.3","1.1","0.4","363.64","0.0","0.0","0.0","0.0","0.0","0.0","12.6","3.7","293.65","0.0","0.0","0.0","0.0","0.0","0.0","33.96","-1.0","-1.0","0.3","0.6","2000.0","0.0","0.0","0.0","0.4","2.15","2.55","1.13","0.18","71.79"
"13","1969","6","Madhya Pradesh","Sagar","14.1","8.1","574.47","273.2","159.7","584.55","27.6","21.4","775.36","0.0","0.0","0.0","27.6","21.4","775.36","0.0","0.0","0.0","4.2","3.0","714.29","0.0","0.0","0.0","0.8","0.8","1000.0","34.9","18.2","521.49","3.9","2.3","589.74","43.34","18.9","436.09","6.9","5.1","739.13","4.8","0.5","104.17","1.1","0.4","363.64","0.0","0.0","0.0","0.0","0.0","0.0","14.2","5.2","366.2","0.0","0.0","0.0","0.0","0.0","0.0","33.96","12.4","365.14","0.3","0.5","1666.67","0.0","0.0","0.0","0.39","2.02","2.41","1.02","0.16","70.52"
"13","1970","6","Madhya Pradesh","Sagar","14.7","10.3","700.68","270.5","172.4","637.34","30.5","28.8","944.26","0.0","0.0","0.0","30.5","28.8","944.26","0.0","0.0","0.0","4.2","6.5","1547.62","0.0","0.0","0.0","0.7","0.8","1142.86","32.5","15.0","461.54","5.0","3.9","780.0","45.7","19.5","426.7","8.7","7.1","816.09","4.9","0.5","102.04","1.1","0.4","363.64","0.0","0.0","0.0","0.0","0.0","0.0","15.1","4.5","298.01","0.0","0.0","0.0","0.0","0.0","0.0","35.1","13.4","381.77","0.2","0.5","2500.0","0.0","0.0","0.0","0.5","1.83","2.33","0.96","0.14","69.17"
"13","1971","6","Madhya Pradesh","Sagar","15.5","10.9","703.23","275.0","221.5","805.45","28.5","20.4","715.79","0.0","0.0","0.0","28.5","20.4","715.79","0.0","0.0","0.0","4.2","4.9","1166.67","0.0","0.0","0.0","0.6","0.7","1166.67","34.8","18.0","517.24","5.2","3.7","711.54","44.3","17.1","386.0","8.7","6.4","735.63","3.5","0.3","85.71","1.1","0.5","454.55","0.0","0.0","0.0","0.0","0.0","0.0","20.7","7.2","347.83","0.0","0.0","0.0","0.0","0.0","0.0","38.2","15.0","392.67","0.2","0.4","2000.0","0.0","0.0","0.0","0.44","1.74","2.18","0.86","0.14","67.36"
"13","1972","6","Madhya Pradesh","Sagar","16.3","10.2","625.77","273.1","185.1","677.77","27.4","34.4","1255.47","0.0","0.0","0.0","27.4","34.4","1255.47","0.0","0.0","0.0","4.1","5.0","1219.51","0.0","0.0","0.0","0.6","0.6","1000.0","42.3","21.3","503.55","4.9","3.8","775.51","46.6","18.7","401.29","8.5","6.1","717.65","3.1","0.5","161.29","1.1","0.6","545.45","0.0","0.0","0.0","0.0","0.0","0.0","11.6","4.3","370.69","0.0","0.0","0.0","0.0","0.0","0.0","29.6","12.5","422.3","0.2","0.4","2000.0","0.0","0.0","0.0","0.4","1.94","2.33","0.91","0.14","66.23"
"13","1973","6","Madhya Pradesh","Sagar","15.6","12.4","794.87","246.6","188.2","763.18","29.0","31.4","1082.76","0.0","0.0","0.0","29.0","31.4","1082.76","0.0","0.0","0.0","4.1","4.3","1048.78","0.0","0.0","0.0","0.6","0.7","1166.67","48.7","22.9","470.23","5.0","3.8","760.0","53.2","19.5","366.54","10.6","6.4","603.77","3.1","0.4","129.03","1.2","0.7","583.33","0.0","0.0","0.0","0.0","0.0","0.0","22.6","6.9","305.31","0.0","0.0","0.0","0.0","0.0","0.0","43.4","15.4","354.84","0.1","0.4","4000.0","0.0","0.0","0.0","0.37","2.08","2.45","1.02","0.16","66.53"
"13","1974","6","Madhya Pradesh","Sagar","14.9","7.6","510.07","219.7","172.3","784.25","27.8","30.3","1089.93","0.0","0.0","0.0","27.8","30.3","1089.93","0.0","0.0","0.0","4.2","4.6","1095.24","0.0","0.0","0.0","0.9","1.1","1222.22","59.2","32.2","543.92","4.1","3.1","756.1","57.8","26.7","461.94","12.8","9.4","734.38","2.5","0.3","120.0","1.2","0.8","666.67","0.0","0.0","0.0","0.0","0.0","0.0","31.9","9.7","304.08","0.0","0.0","0.0","0.0","0.0","0.0","54.4","23.1","424.63","0.2","0.7","3500.0","0.0","0.0","0.0","0.38","2.14","2.51","0.98","0.18","66.29"
"13","1975","6","Madhya Pradesh","Sagar","14.9","9.8","657.72","251.5","197.7","786.08","27.3","26.0","952.38","0.0","0.0","0.0","27.3","26.0","952.38","0.0","0.0","0.0","4.1","4.4","1073.17","0.0","0.0","0.0","0.9","1.2","1333.33","42.9","23.2","540.79","4.8","3.6","750.0","53.4","23.5","440.07","14.6","10.7","732.88","1.5","0.2","133.33","1.2","0.8","666.67","0.0","0.0","0.0","0.0","0.0","0.0","26.3","9.2","349.81","0.0","0.0","0.0","0.0","0.0","0.0","48.4","21.7","448.35","0.2","0.7","3500.0","0.0","0.0","0.0","0.37","2.06","2.43","0.9","0.19","63.96"
