State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield,State_clean,Soil_Type,ndvi_mean,ndvi_max,ndvi_std,ndvi_kharif_mean,ndvi_rabi_mean
Tamil Nadu,COIMBATORE,Arecanut,2002,Whole Year,1589.0,Hectare,,Tonnes,0.0,tamil nadu,Black soil,,,,,
Tamil Nadu,COIMBATORE,Arecanut,2003,Whole Year,1577.0,Hectare,,Tonnes,0.0,tamil nadu,Black soil,,,,,
Tamil Nadu,DHARMAPURI,Arecanut,2002,Whole Year,203.0,Hectare,,Tonnes,0.0,tamil nadu,Red soil,,,,,
Tamil Nadu,DHARMAPURI,Arecanut,2003,Whole Year,308.0,Hectare,,Tonnes,0.0,tamil nadu,Red soil,,,,,
Tamil Nadu,DINDIGUL,Arecanut,2002,Whole Year,32.0,Hectare,,Tonnes,0.0,tamil nadu,Red loam,,,,,
Tamil Nadu,DINDIGUL,Arecanut,2003,Whole Year,39.0,Hectare,,Tonnes,0.0,tamil nadu,Red loam,,,,,
Tamil Nadu,ERODE,Arecanut,2002,Whole Year,121.0,Hectare,,Tonnes,0.0,tamil nadu,Black soil,,,,,
Tamil Nadu,ERODE,Arecanut,2003,Whole Year,134.0,Hectare,,Tonnes,0.0,tamil nadu,Black soil,,,,,
Tamil Nadu,KANNIYAKUMARI,Arecanut,2002,Whole Year,760.0,Hectare,,Tonnes,0.0,tamil nadu,Laterite,,,,,
Tamil Nadu,KANNIYAKUMARI,Arecanut,2003,Whole Year,761.0,Hectare,,Tonnes,0.0,tamil nadu,Laterite,,,,,
Tamil Nadu,KARUR,Arecanut,2003,Whole Year,1.0,Hectare,,Tonnes,0.0,tamil nadu,Black soil,,,,,
Tamil Nadu,KRISHNAGIRI,Arecanut,2003,Whole Year,43.0,Hectare,,Tonnes,0.0,tamil nadu,Red soil,,,,,
Tamil Nadu,NAGAPATTINAM,Arecanut,2002,Whole Year,3.0,Hectare,,Tonnes,0.0,tamil nadu,Alluvial,,,,,
Tamil Nadu,NAGAPATTINAM,Arecanut,2003,Whole Year,2.0,Hectare,,Tonnes,0.0,tamil nadu,Alluvial,,,,,
