State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield,State_clean,Soil_Type,ndvi_mean,ndvi_max,ndvi_std,ndvi_kharif_mean,ndvi_rabi_mean
Tamil Nadu,ARIYALUR,Arecanut,2018,Whole Year,1.0,Hectare,2.0,Tonnes,2.0,tamil nadu,Red loam,0.2705903118540876,0.4437055010906232,0.1108292430550335,0.243623585344711,0.3166891379549787
Tamil Nadu,COIMBATORE,Arecanut,2018,Whole Year,2074.0,Hectare,4305.0,Tonnes,2.075699132111861,tamil nadu,Black soil,0.2705903118540876,0.4437055010906232,0.1108292430550335,0.243623585344711,0.3166891379549787
Tamil Nadu,CUDDALORE,Arecanut,2018,Whole Year,1.0,Hectare,2.0,Tonnes,2.0,tamil nadu,Alluvial,0.2705903118540876,0.4437055010906232,0.1108292430550335,0.243623585344711,0.3166891379549787
Tamil Nadu,DHARMAPURI,Arecanut,2018,Whole Year,496.0,Hectare,635.0,Tonnes,1.280241935483871,tamil nadu,Red soil,0.2705903118540876,0.4437055010906232,0.1108292430550335,0.243623585344711,0.3166891379549787
Tamil Nadu,DINDIGUL,Arecanut,2018,Whole Year,45.0,Hectare,99.0,Tonnes,2.2,tamil nadu,Red loam,0.2705903118540876,0.4437055010906232,0.1108292430550335,0.243623585344711,0.3166891379549787
Tamil Nadu,ERODE,Arecanut,2018,Whole Year,642.0,Hectare,875.0,Tonnes,1.3629283489096573,tamil nadu,Black soil,0.2705903118540876,0.4437055010906232,0.1108292430550335,0.243623585344711,0.3166891379549787
Tamil Nadu,KANNIYAKUMARI,Arecanut,2018,Whole Year,269.0,Hectare,200.0,Tonnes,0.7434944237918215,tamil nadu,Laterite,0.2705903118540876,0.4437055010906232,0.1108292430550335,0.243623585344711,0.3166891379549787
Tamil Nadu,KARUR,Arecanut,2018,Whole Year,1.0,Hectare,2.0,Tonnes,2.0,tamil nadu,Black soil,0.2705903118540876,0.4437055010906232,0.1108292430550335,0.243623585344711,0.3166891379549787
Tamil Nadu,KRISHNAGIRI,Arecanut,2018,Whole Year,16.0,Hectare,13.0,Tonnes,0.8125,tamil nadu,Red soil,0.2705903118540876,0.4437055010906232,0.1108292430550335,0.243623585344711,0.3166891379549787
Tamil Nadu,NAGAPATTINAM,Arecanut,2018,Whole Year,1.0,Hectare,2.0,Tonnes,2.0,tamil nadu,Alluvial,0.2705903118540876,0.4437055010906232,0.1108292430550335,0.243623585344711,0.3166891379549787
